Name,Total Rating,Review Count,Price Range,Address Region,Food,Service,Value,Atmosphere,Excellent,Very good,Average,Poor,Terrible
Kushihachi Karasumaruten,4.5,28,,Kinki,4.0,4.0,4.5,4.0,35%,58%,7%,0%,0%
GYOZA8,4.0,32,$,Kinki,4.5,4.0,4.5,,58%,21%,12%,0%,9%
Nomura Shokado,4.5,19,$$ - $$$,Kinki,,,,,,,,,
Gion Maruyama,4.5,23,$$$$,Kinki,5.0,4.5,4.5,,71%,17%,4%,8%,0%
Gion Suetomo,4.5,32,$$$$,Kinki,,,,,,,,,
Washoku Sato Kyo Goju,4.0,35,$$ - $$$,Kinki,4.0,4.0,4.5,3.5,30%,46%,18%,6%,0%
Hisagozushi Kawaramachi Honten,4.0,28,$$ - $$$,Kinki,4.0,4.0,3.0,,28%,52%,17%,0%,3%
Kanoshojuan,4.5,18,$$ - $$$,Kinki,,,,,,,,,
Kyomisaisai Anju,4.0,36,$$ - $$$,Kinki,4.5,4.0,4.0,4.5,25%,60%,11%,2%,2%
Hassun,5.0,14,$$$$,Kinki,5.0,5.0,4.5,,93%,7%,0%,0%,0%
Kyoto Kitcho Hotel Granvia-branch,4.0,41,$$$$,Kinki,4.5,4.5,4.0,4.0,46%,36%,14%,0%,4%
"Hanatanuki, Kyoto Ekimae",4.0,32,$$ - $$$,Kinki,,,,,,,,,
Arashiyama Udon Ozuru,4.0,49,$$ - $$$,Kinki,4.5,4.0,4.0,,22%,40%,30%,8%,0%
Sushi No Musashi Kami Horikawa,4.5,27,$$ - $$$,Kinki,4.5,4.0,4.5,,53%,29%,18%,0%,0%
Weekenders Coffee,4.5,24,$$ - $$$,Kinki,4.0,4.5,4.0,,55%,25%,12%,8%,0%
Kawakami,4.5,23,$$$$,Kinki,5.0,4.5,4.5,,75%,17%,0%,8%,0%
"Gyoza no Ohsho, Gion Yasaka",4.0,27,$,Kinki,4.5,4.0,4.5,,22%,56%,22%,0%,0%
Kineya Kyoto Porta,4.0,36,$$ - $$$,Kinki,,,,,,,,,
Kyoya Kiyomizu,4.5,23,$$ - $$$,Kinki,4.5,4.0,4.0,,66%,26%,4%,4%,0%
Gion Okumura,4.0,31,$$$$,Kinki,4.5,4.5,4.0,4.0,44%,38%,12%,6%,0%
Kikkoya,4.5,18,,Kinki,,,,,62%,33%,5%,0%,0%
Licata,5.0,14,$$ - $$$,Kinki,5.0,4.0,4.0,,93%,7%,0%,0%,0%
Tofu Cuisine Rengetsuchaya,4.5,18,$$ - $$$,Kinki,4.5,4.5,4.5,,62%,33%,5%,0%,0%
Cafe Rhinebeck,4.0,35,$$ - $$$,Kinki,4.5,4.0,3.5,,57%,25%,11%,2%,5%
Kishozakura,4.5,16,$$ - $$$,Kinki,4.5,4.0,4.5,,69%,31%,0%,0%,0%
Tempura Pub Kyoto Gatten,4.0,35,$$ - $$$,Kinki,4.5,4.5,4.0,,54%,25%,8%,8%,5%
Tempura Oe,4.5,14,$$ - $$$,Kinki,,,,,72%,21%,7%,0%,0%
C'est Sympa,5.0,19,$$ - $$$,Kinki,5.0,4.5,4.5,,95%,0%,0%,0%,5%
Restaurant Kikusui,4.0,75,$$ - $$$,Kinki,4.0,4.0,3.5,4.0,26%,46%,17%,4%,7%
Restrant Tamura,5.0,13,$$ - $$$,Kinki,,,,,,,,,
Jusei,4.5,14,$$$$,Kinki,,,,,72%,28%,0%,0%,0%
Minatoya Yureikosodateame Honpo,4.0,25,$$ - $$$,Kinki,4.0,3.5,3.5,,24%,64%,12%,0%,0%
Le Petit Mec No. 2,4.5,20,$$ - $$$,Kinki,4.5,3.5,4.0,,45%,50%,5%,0%,0%
Teppanyki Himorogi,4.5,21,$$$$,Kinki,4.0,4.5,3.5,,73%,23%,0%,4%,0%
Cucina Italiana Todo,4.0,33,,Kinki,,,,,,,,,
Tuzuri,4.5,19,$$ - $$$,Kinki,4.5,4.5,4.5,,59%,36%,0%,5%,0%
Saffron Saffron,4.5,15,$$ - $$$,Kinki,5.0,4.5,4.5,,74%,26%,0%,0%,0%
Capricciosa,4.0,46,$$ - $$$,Kinki,4.5,4.5,4.0,3.5,43%,30%,20%,5%,2%
Genzo Nishiki Main shop,4.0,35,$$ - $$$,Kinki,4.0,4.0,4.0,4.0,14%,67%,17%,0%,2%
Man in the Moon Rokkaku,4.5,21,$$ - $$$,Kinki,,,,,,,,,
Arashiyama Curry,4.5,20,$$ - $$$,Kinki,4.5,4.5,4.5,,55%,25%,20%,0%,0%
Arashiyama Gyatei,4.0,60,$$ - $$$,Kinki,,,,,,,,,
Chifaja Saiin,4.0,39,$$ - $$$,Kinki,4.0,4.0,4.0,4.5,53%,20%,17%,10%,0%
Muten Kurasushi Nijo,4.0,38,$,Kinki,4.0,3.5,4.5,,28%,47%,21%,2%,2%
Nozomi Muromachi,4.5,19,$$ - $$$,Kinki,4.5,4.0,5.0,,59%,26%,10%,5%,0%
Before9,4.0,25,$$ - $$$,Kinki,3.5,3.5,3.0,,36%,36%,28%,0%,0%
Daiichi,4.5,26,,Kinki,,,,,,,,,
Tonkatsu Ichiban,4.5,22,$$ - $$$,Kinki,,,,,74%,18%,0%,4%,4%
Wagyu Yakiniku Toku,4.5,22,$$ - $$$,Kinki,4.5,4.5,4.0,,65%,22%,9%,4%,0%
Bunnosukechaya,4.0,24,$$ - $$$,Kinki,4.5,4.5,4.0,,29%,63%,8%,0%,0%
Inayoshi,4.0,29,$$$$,Kinki,4.0,4.5,4.0,,58%,27%,6%,6%,3%
Ellora,4.0,32,$$ - $$$,Kinki,4.5,4.5,4.0,,54%,31%,3%,6%,6%
Buta Gorilla Shinkyogokurokkakuten,4.0,33,$$ - $$$,Kinki,4.0,4.5,4.0,4.0,40%,33%,24%,3%,0%
Kamanza Shimizu Ninenzaka,4.0,26,$$ - $$$,Kinki,4.0,3.5,4.0,3.0,38%,52%,7%,0%,3%
Oryori Hayashi,4.0,21,$$$$,Kinki,,,,,,,,,
Somushi Kochaya,4.5,27,$$ - $$$,Kinki,4.5,4.0,4.0,5.0,53%,37%,7%,0%,3%
Soup Stock Tokyo Kyoto Porta,3.5,49,$$ - $$$,Kinki,4.0,4.5,4.0,4.0,16%,50%,30%,0%,4%
Ganesha,4.0,25,$$ - $$$,Kinki,,,,,,,,,
Riverside Cafe Green Terrace,4.5,17,$$ - $$$,Kinki,4.5,4.5,4.0,,41%,48%,11%,0%,0%
A Happy Pancake Kyoto,4.0,18,,Kinki,,,,,38%,52%,5%,5%,0%
Obu Cafe,4.0,39,$$ - $$$,Kinki,4.0,4.0,3.5,,25%,43%,28%,2%,2%
Ukiya Kiyomizu Kisseian,4.0,31,$$ - $$$,Kinki,4.5,4.0,4.0,4.0,46%,34%,17%,3%,0%
BEER PUB Takumiya,4.5,22,$$ - $$$,Kinki,4.5,4.5,4.0,,52%,40%,0%,4%,4%
Gion Kyomen,4.5,20,$$ - $$$,Kinki,4.5,4.5,4.0,,50%,30%,20%,0%,0%
Cafe & Restaurant Cozy,4.0,46,$$ - $$$,Kinki,,,,,,,,,
Murakamijuu Main shop,4.0,25,,Kinki,4.0,4.0,3.5,,24%,64%,12%,0%,0%
Yamasan Ramen shijo Kawaramachi,4.5,15,$,Kinki,4.5,4.5,4.5,,74%,20%,0%,6%,0%
GRAND MARBLE,4.0,33,$$ - $$$,Kinki,,,,,,,,,
Cotociel,4.5,17,$$ - $$$,Kinki,4.5,4.5,4.0,,41%,54%,5%,0%,0%
Okutan Nanzenji,4.0,66,$$ - $$$,Kinki,4.0,3.5,3.0,4.0,21%,48%,21%,7%,3%
Pooh's ?... Cafe,4.5,17,,Kinki,,,,,60%,29%,11%,0%,0%
Obase,5.0,13,$$$$,Kinki,4.5,4.5,4.5,,77%,23%,0%,0%,0%
Sweet Marron Cafe,4.5,16,,Kinki,,,,,,,,,
Bistro Nozomi,4.5,29,$$ - $$$,Kinki,,,,,57%,38%,5%,0%,0%
Izu,4.0,77,$$$$,Kinki,4.0,3.5,3.0,3.5,35%,38%,11%,7%,9%
Arashiyama Benkei,4.5,46,$$$$,Kinki,4.0,4.0,3.5,,69%,21%,0%,8%,2%
Family Kitchen Pu,4.5,18,$$ - $$$,Kinki,,,,,,,,,
Kamal,4.0,20,$$ - $$$,Kinki,4.0,4.0,4.0,,30%,55%,15%,0%,0%
Kachikura,4.5,31,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,62%,29%,0%,0%,9%
Yagura,4.0,27,$$ - $$$,Kinki,,,,,,,,,
Shinme,4.5,21,$$ - $$$,Kinki,4.5,4.0,3.5,4.5,53%,33%,14%,0%,0%
Figueras Suvaco Jr Kyoto Isetan,4.0,29,$$ - $$$,Kinki,4.0,3.5,3.5,4.0,17%,63%,17%,3%,0%
Gion Manyoken Main Branch,5.0,15,$$$$,Kinki,,,,,,,,,
Chikuyuan Taroatsumori,4.0,25,$$ - $$$,Kinki,4.5,3.5,4.0,,40%,40%,20%,0%,0%
Ponto,4.5,19,,Kinki,,,,,48%,42%,10%,0%,0%
Curry Tukemen NANDATTEI,4.5,16,,Kinki,,,,,,,,,
Ramenkairikiya Honten,4.0,28,$$ - $$$,Kinki,4.0,4.0,3.5,,17%,52%,28%,3%,0%
Shiba Raku Cafe,4.5,22,$$ - $$$,Kinki,,,,,56%,31%,9%,0%,4%
310saredowa,4.5,13,$$ - $$$,Kinki,,,,,62%,38%,0%,0%,0%
No Name Ramen,4.0,25,$$ - $$$,Kinki,4.5,3.5,4.0,,40%,44%,8%,4%,4%
Tako Nishiki,5.0,20,$$ - $$$,Kinki,,,,,90%,5%,5%,0%,0%
Sujata's Restaurant-Nest,4.5,14,$$ - $$$,Kinki,4.5,4.5,4.5,,72%,28%,0%,0%,0%
Rokusei,4.5,20,$$$$,Kinki,,,,,,,,,
Chidoritei,4.5,16,$$ - $$$,Kinki,4.5,3.5,3.5,,63%,37%,0%,0%,0%
LE CHENE,5.0,15,$$$$,Kinki,5.0,5.0,5.0,,100%,0%,0%,0%,0%
Chakobo Nagatake,5.0,13,$$ - $$$,Kinki,5.0,4.5,4.5,,100%,0%,0%,0%,0%
Ryori Ryokan Hyoue,4.5,22,$$$$,Kinki,,,,,,,,,
Aux Bacchanales,4.0,29,$$ - $$$,Kinki,3.5,4.0,3.5,4.0,20%,64%,10%,6%,0%
Kodaiji Kyoryori Manjiro,5.0,16,$$ - $$$,Kinki,5.0,4.5,4.5,,75%,25%,0%,0%,0%
Gosho Ungetsu,4.5,17,$$ - $$$,Kinki,4.5,4.5,4.5,,41%,59%,0%,0%,0%
Nishio Yatsuhashi no Sato,4.5,25,$$ - $$$,Kinki,4.5,4.5,4.5,,52%,36%,4%,4%,4%
Ichi no Hunairi,4.5,23,$$ - $$$,Kinki,4.5,4.5,4.0,,49%,34%,13%,4%,0%
Keitei Takashimaya Kyoto,4.5,15,$$ - $$$,Kinki,4.5,4.5,4.5,,60%,40%,0%,0%,0%
Trattoria La Pace,4.5,27,$$ - $$$,Kinki,,,,,,,,,
enboca Kyoto,4.5,27,$$ - $$$,Kinki,4.5,4.5,4.0,5.0,53%,37%,7%,0%,3%
Orizzonte,4.0,39,$$$$,Kinki,,,,,,,,,
Tenpurakaisen Komefuku Kyoto Kiyamachi,3.5,61,$$ - $$$,Kinki,4.0,3.5,4.0,,29%,41%,13%,11%,6%
"Ginon Negiyaki Kana, Higashi",5.0,12,$$ - $$$,Kinki,4.5,4.5,5.0,,100%,0%,0%,0%,0%
Gion Kappa,4.0,80,$,Kinki,4.0,4.0,4.0,4.5,39%,33%,11%,5%,12%
Gion Matayoshi,5.0,13,$$$$,Kinki,,,,,,,,,
Ikariya Petit,4.5,24,$$ - $$$,Kinki,4.5,4.5,4.0,,64%,20%,8%,4%,4%
Kyosendo Gion-main branch,4.0,23,$$ - $$$,Kinki,4.5,4.0,4.0,,30%,49%,21%,0%,0%
Dintaifon Kyoto,4.0,46,$$ - $$$,Kinki,4.0,4.0,3.5,,19%,58%,13%,10%,0%
Imobohiranoyahonke,4.0,41,$$ - $$$,Kinki,4.0,3.5,3.5,,28%,50%,17%,0%,5%
Motsunabe den dining banquet tavern Kyoto Kimuraya Honten,4.0,40,$$ - $$$,Kinki,,,,,,,,,
Trattoria Il Tesoro,4.5,14,$$ - $$$,Kinki,,,,,,,,,
Higashiyama Garden,4.5,17,$$$$,Kinki,4.5,4.5,3.5,,48%,47%,5%,0%,0%
Le Pont,5.0,13,$$ - $$$,Kinki,5.0,4.5,4.5,,85%,15%,0%,0%,0%
Kasho,4.5,20,$,Kinki,4.5,4.0,4.0,,30%,65%,5%,0%,0%
Sushi Matsumoto,4.0,39,$$$$,Kinki,4.5,4.5,4.0,,50%,28%,15%,0%,7%
Restaurant Kiev,4.5,22,$$ - $$$,Kinki,4.5,4.0,3.5,,46%,45%,0%,9%,0%
Matsuba Kyoto station,4.0,29,$$ - $$$,Kinki,4.0,3.5,3.5,,13%,56%,31%,0%,0%
Ukihashi,3.5,46,$$$$,Kinki,,,,,,,,,
Daniel's,4.0,39,$$ - $$$,Kinki,4.0,4.5,4.0,,27%,55%,12%,3%,3%
Bar Hopseed,5.0,11,$$$$,Kinki,,,,,91%,0%,9%,0%,0%
Niken Chaya Nakamura-Ro,4.0,29,$$ - $$$,Kinki,4.0,4.0,3.5,,43%,41%,10%,0%,6%
Honkenishio Yatsuhashi,4.0,22,$$ - $$$,Kinki,4.0,4.5,4.0,,31%,60%,9%,0%,0%
Sanjo Pakuchi,4.0,27,$$ - $$$,Kinki,,,,,,,,,
Kyosai Nikushima,4.5,11,,Kinki,,,,,73%,27%,0%,0%,0%
The Kitchen Kanra,4.5,42,$$ - $$$,Kinki,,,,,,,,,
Engawa Cafe,4.5,18,$$ - $$$,Kinki,4.5,4.0,4.0,5.0,57%,38%,5%,0%,0%
Bar K6,4.0,28,$$ - $$$,Kinki,3.5,4.0,3.5,,39%,54%,0%,0%,7%
TAIGU,4.0,56,$$ - $$$,Kinki,4.0,4.0,3.5,,42%,33%,10%,7%,8%
Gion Yuyama,4.5,29,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,56%,38%,3%,0%,3%
Genya,4.5,17,$$ - $$$,Kinki,,,,,,,,,
Shogoinyatsuhashi,4.0,23,$,Kinki,4.0,4.0,4.0,,13%,70%,17%,0%,0%
Nishiri Gion,4.0,24,$$ - $$$,Kinki,4.0,4.0,4.0,,42%,33%,25%,0%,0%
Rokusei,5.0,12,$$ - $$$,Kinki,4.5,4.5,4.5,,75%,25%,0%,0%,0%
Iwasaki,4.5,16,$$$$,Kinki,5.0,5.0,4.0,,76%,18%,6%,0%,0%
Zuientei,4.0,22,$$ - $$$,Kinki,5.0,5.0,4.5,,40%,47%,9%,4%,0%
Mishimatei Daimaru Kyoto,4.5,16,$$ - $$$,Kinki,4.5,4.0,3.5,,43%,51%,6%,0%,0%
Wakewabi,4.5,25,$$ - $$$,Kinki,4.5,4.5,4.5,,60%,24%,12%,0%,4%
Dashi Chazuke En Kyoto Porta,4.0,28,$$ - $$$,Kinki,4.0,3.5,4.0,,7%,65%,25%,3%,0%
Tanaka Keiran,4.5,18,$$ - $$$,Kinki,,,,,,,,,
Nishikiwarai Nishiki,4.0,32,$$ - $$$,Kinki,,,,,,,,,
Hyakushokuya,4.5,19,$$ - $$$,Kinki,4.5,4.0,4.0,,53%,26%,21%,0%,0%
Kyoto Goencha,5.0,11,$,Kinki,,,,,91%,9%,0%,0%,0%
Kintame Kyoto,4.5,18,$$ - $$$,Kinki,,,,,,,,,
Yaoiso Karasuma,4.5,17,,Kinki,4.5,3.5,3.5,,48%,47%,5%,0%,0%
Arashiyama Rilakkuma Sabo,4.5,15,,Kinki,,,,,40%,47%,13%,0%,0%
Gion Yorozuya,4.0,31,$$ - $$$,Kinki,4.5,4.0,4.0,3.5,25%,53%,19%,3%,0%
Izama,4.0,23,$$ - $$$,Kinki,4.5,4.0,4.0,,34%,45%,13%,8%,0%
Yorozu Enraku,4.5,20,$$ - $$$,Kinki,4.5,4.0,4.0,,50%,35%,10%,5%,0%
Grill & Beer Kyo-Dining Hachijo,4.0,24,$$ - $$$,Kinki,4.5,4.0,4.0,,12%,63%,25%,0%,0%
Sumiyaki Akari,4.0,32,$$ - $$$,Kinki,4.0,4.0,4.0,,57%,28%,6%,0%,9%
Yoshuji,4.0,26,$$ - $$$,Kinki,4.0,4.0,3.5,,34%,44%,15%,7%,0%
Vege Cafe & Dining TOSCA,4.5,15,$$ - $$$,Kinki,,,,,,,,,
"Izumi Curry, Shijo Karasuma",5.0,10,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Imobo Hiranoya Honten,4.0,36,$$ - $$$,Kinki,4.0,3.5,3.5,4.5,36%,52%,5%,2%,5%
Isoism,4.0,20,$$ - $$$,Kinki,3.0,3.0,3.0,,50%,30%,10%,10%,0%
Kohiresutorandorufu,4.0,30,$$ - $$$,Kinki,4.0,3.5,3.5,,28%,56%,12%,4%,0%
Partik Restaurant Kujo,4.0,45,$$ - $$$,Kinki,4.5,4.5,4.0,,60%,13%,8%,11%,8%
Daitokuji Ikkyu,4.5,15,$$$$,Kinki,4.5,4.5,4.5,,67%,20%,13%,0%,0%
Daikoku Ramen,4.0,22,$,Kinki,4.5,4.0,5.0,,31%,60%,9%,0%,0%
Kyotodining Ichibakoji Teramachiten,4.0,34,$$ - $$$,Kinki,4.0,3.5,3.5,,24%,49%,24%,3%,0%
Ryukishin Kyoto,4.5,18,$,Kinki,,,,,,,,,
ZaZa Pub,4.0,41,$,Kinki,3.0,4.0,4.0,,53%,24%,14%,7%,2%
Yoshiya Oku no Niwa,4.0,21,$$ - $$$,Kinki,4.5,4.0,4.0,,33%,49%,14%,4%,0%
Lorimer Kyoto,5.0,9,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Kanton Ryouri Housen,4.0,22,$$ - $$$,Kinki,4.5,4.0,4.0,,27%,51%,22%,0%,0%
Beef Bun & Cafe Kihachiro Kyoto Gojozaka,4.5,22,$,Kinki,4.0,4.0,3.5,,51%,27%,22%,0%,0%
Minokichi Karasumashijo,5.0,13,$$ - $$$,Kinki,,,,,,,,,
Arrow Tree Kyoto,4.5,15,$$ - $$$,Kinki,5.0,4.5,4.0,,54%,46%,0%,0%,0%
Grilled Beef Masuichi Sakaimachi Nishiki,4.5,20,$$ - $$$,Kinki,,,,,,,,,
Kokoraya Gokomachi,4.0,27,$$ - $$$,Kinki,3.5,3.0,3.5,,29%,53%,11%,0%,7%
Camphora,4.0,29,$$ - $$$,Kinki,,,,,,,,,
Sentaro Daimaru Kyoto,4.5,18,$,Kinki,4.5,4.0,4.0,,45%,44%,11%,0%,0%
Sandog Inn Kobeya Kyoto Marui,4.5,16,$,Kinki,4.5,4.0,4.5,,37%,63%,0%,0%,0%
Kyoto & French Fusion Arashiyama Mitate,4.5,13,$$$$,Kinki,5.0,4.0,4.5,,78%,15%,7%,0%,0%
Tenka no Yakiniku Daishogun Shiyo Oomiya,4.5,17,$$ - $$$,Kinki,4.5,4.5,4.0,,41%,48%,11%,0%,0%
Ogawa Coffee Honten,4.0,25,$$ - $$$,Kinki,4.0,4.0,3.5,,20%,60%,20%,0%,0%
Tokura,4.5,20,,Kinki,,,,,60%,25%,10%,5%,0%
Nakamuraya Sozaiseisakusho,5.0,10,$$ - $$$,Kinki,,,,,,,,,
Mensho Takamatsu Honten,4.0,31,$$ - $$$,Kinki,4.0,3.5,3.5,,29%,55%,16%,0%,0%
D&Department Kyoto Cafe,4.5,14,$$ - $$$,Kinki,4.0,4.0,3.5,,58%,35%,7%,0%,0%
Jubanseru,4.0,32,$$ - $$$,Kinki,4.0,4.0,3.0,4.0,25%,54%,18%,0%,3%
Gion Emon,4.5,17,$$ - $$$,Kinki,5.0,5.0,4.0,,55%,35%,5%,5%,0%
Konnamonja,4.0,24,$,Kinki,,,,,,,,,
Kirin City Shinkyogokuten,4.0,26,$$ - $$$,Kinki,4.0,4.0,4.0,,23%,58%,19%,0%,0%
Sabo Kinkakuan,5.0,9,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Bakabondo,4.0,16,$$ - $$$,Kinki,4.5,4.0,3.5,,25%,69%,6%,0%,0%
Akebonotei,4.0,19,$$ - $$$,Kinki,4.0,4.0,3.5,,15%,75%,10%,0%,0%
Ali Baba,4.5,23,$$ - $$$,Kinki,,,,,,,,,
Taroya,4.0,25,,Kinki,4.5,4.0,4.0,,36%,40%,20%,4%,0%
Sakura Komachi,4.5,17,$$ - $$$,Kinki,,,,,73%,17%,5%,5%,0%
Okonomiyaki Zen,5.0,11,$,Kinki,4.5,4.5,4.5,,82%,18%,0%,0%,0%
Heianden Main shop,4.5,17,,Kinki,,,,,35%,60%,5%,0%,0%
Cafe Kocsi,4.5,17,$$ - $$$,Kinki,4.5,4.0,4.0,,35%,60%,5%,0%,0%
Teppan Shokudo Kotora,4.5,15,$$ - $$$,Kinki,,,,,,,,,
Muromachi Kaji,4.5,19,$$ - $$$,Kinki,4.5,4.0,4.5,,64%,15%,21%,0%,0%
Sarashina,4.5,14,$$ - $$$,Kinki,,,,,50%,50%,0%,0%,0%
Gion Nishi,5.0,10,$$$$,Kinki,,,,,90%,10%,0%,0%,0%
Hiragana-Kan,4.5,13,,Kinki,,,,,62%,38%,0%,0%,0%
Dining Cafe & Bar Uruu,4.5,21,$$ - $$$,Kinki,4.5,4.0,4.0,,50%,42%,4%,0%,4%
Gihan Ebisudo,4.0,33,$$ - $$$,Kinki,,,,,,,,,
Akagakiya,4.0,18,$$ - $$$,Kinki,,,,,,,,,
Chinese Soba Takayasu,4.0,21,$$ - $$$,Kinki,4.5,4.0,4.5,,19%,63%,14%,4%,0%
Seabura no Kami,4.5,15,$,Kinki,,,,,,,,,
Citron Ble,4.0,21,$$ - $$$,Kinki,4.5,4.5,4.0,,49%,28%,23%,0%,0%
Bar Shushu,5.0,13,$$ - $$$,Kinki,,,,,,,,,
Kotokiki Chaya,4.0,26,$$ - $$$,Kinki,3.5,3.5,3.5,,26%,52%,19%,3%,0%
"Ayam Ya, Karasuma",4.5,11,,Kinki,,,,,82%,9%,9%,0%,0%
Boruta,5.0,11,$$$$,Kinki,5.0,5.0,5.0,,100%,0%,0%,0%,0%
Nakanaka,4.5,15,$$ - $$$,Kinki,,,,,,,,,
Kagaya Kyo Isetanten,4.5,22,,Kinki,5.0,4.5,4.0,,43%,51%,6%,0%,0%
Shinshindo Fuchomae,4.0,21,$$ - $$$,Kinki,,,,,,,,,
La Part Dieu,5.0,15,$$ - $$$,Kinki,5.0,4.5,4.5,4.0,80%,20%,0%,0%,0%
Thai Kitchen Pacuchi Marutamachi,4.0,17,$$ - $$$,Kinki,4.5,4.0,4.0,,29%,60%,11%,0%,0%
Higashiyama Yuuzu,5.0,12,$$ - $$$,Kinki,,,,,75%,25%,0%,0%,0%
Sheimeihoa Saikontan Takoyakushi Kyoto,4.5,24,$$ - $$$,Kinki,4.5,3.5,4.0,,68%,16%,8%,4%,4%
Demachi Rororo,4.0,18,$$ - $$$,Kinki,4.5,4.0,4.5,,33%,56%,11%,0%,0%
Kitenya,5.0,10,,Kinki,,,,,80%,20%,0%,0%,0%
Ramen Itsuwa,4.5,14,$$ - $$$,Kinki,,,,,58%,28%,14%,0%,0%
Grill Demi,4.5,14,$$ - $$$,Kinki,,,,,42%,58%,0%,0%,0%
Ramen Hamamura Meitengai Miyakomichi,3.5,34,$$ - $$$,Kinki,4.0,3.5,4.0,,14%,41%,45%,0%,0%
Ichiba Koji JR Kyoto Isetan,4.0,27,$$ - $$$,Kinki,,,,,,,,,
Breakfast Kishin Kyoto,4.5,14,$$ - $$$,Kinki,4.5,4.5,4.5,,72%,14%,7%,7%,0%
Ganchi,4.5,14,,Kinki,,,,,79%,14%,0%,7%,0%
Hamacho,4.0,17,$$ - $$$,Kinki,,,,,42%,41%,17%,0%,0%
Fuka,4.5,15,$$ - $$$,Kinki,,,,,74%,20%,0%,0%,6%
Chimera,4.0,26,,Kinki,4.5,4.5,4.0,4.5,44%,42%,11%,0%,3%
Beer Bar JIVE,5.0,29,$$ - $$$,Kinki,,,,,,,,,
Doutor Coffee Shop Kyoto Porta,4.0,34,$$ - $$$,Kinki,4.0,4.0,4.0,,8%,67%,23%,0%,2%
Your Irish Pub in Kyoto,4.5,11,$$ - $$$,Kinki,,,,,91%,0%,0%,9%,0%
Ume no Hana Kyoto Fushimi,4.0,19,$$ - $$$,Kinki,4.5,4.5,3.5,,38%,52%,5%,5%,0%
Fujiya Kyoto Porta,4.0,26,$$ - $$$,Kinki,4.5,4.0,4.0,,30%,44%,23%,0%,3%
Tofu Chaya Sagatofu Sanchu,4.0,23,$,Kinki,4.0,3.5,4.0,,13%,61%,26%,0%,0%
Bakery Ryugetsudo,4.5,15,,Kinki,,,,,,,,,
Takinoya,4.0,20,$$ - $$$,Kinki,,,,,,,,,
"Ultra Chop, Kyoto Pontocho",4.0,36,$$ - $$$,Kinki,4.0,4.0,3.5,,54%,19%,11%,8%,8%
Ing,5.0,10,$$ - $$$,Kinki,,5.0,4.5,,100%,0%,0%,0%,0%
Scorpione Kichiu,3.5,52,$$ - $$$,Kinki,4.0,3.5,3.5,4.0,27%,44%,13%,13%,3%
Chimoto,4.5,15,$$$$,Kinki,4.5,5.0,4.0,,74%,26%,0%,0%,0%
Onyva,5.0,10,$$ - $$$,Kinki,,,,,80%,20%,0%,0%,0%
Shinsen-En Heihachi,4.5,15,$$ - $$$,Kinki,,,,,,,,,
Ringer Hut Aeon Mall Kyoto,4.0,24,$,Kinki,,,,,,,,,
Candy Show Time Cafe,4.0,17,$$ - $$$,Kinki,,,,,,,,,
Sushiro Gojo Shijihonmatsu,4.0,25,$$ - $$$,Kinki,4.0,4.0,5.0,,48%,36%,8%,0%,8%
Italian Dining vicolo,4.5,15,$$ - $$$,Kinki,4.0,4.0,4.0,,54%,33%,13%,0%,0%
Moritaya Shijo Inokuma Honten,4.0,29,$$$$,Kinki,4.5,4.0,3.5,4.5,30%,62%,4%,4%,0%
Japanese Cuisine Sato Oishibashi,4.0,18,$$ - $$$,Kinki,,,,,,,,,
Kawamichiya Yoro,4.5,19,$$ - $$$,Kinki,,,,,,,,,
Ramen Koganeya Kyoto Main Store,4.0,30,$$ - $$$,Kinki,,,,,,,,,
Taishoken Kyoto Ramen Koji,4.0,35,$$ - $$$,Kinki,,,,,,,,,
Tatsumi,4.0,25,$$ - $$$,Kinki,3.5,3.5,4.0,,28%,52%,16%,0%,4%
Koma Gallery Cafe,5.0,11,$$ - $$$,Kinki,,,,,82%,18%,0%,0%,0%
El Latino,4.5,22,$$ - $$$,Kinki,3.5,4.5,4.0,4.5,65%,18%,9%,4%,4%
Cafe & Meal MUJI KYOTO,4.0,22,$$ - $$$,Kinki,4.0,4.0,4.0,,18%,60%,18%,4%,0%
Kaji,4.5,21,$$$$,Kinki,4.5,4.0,4.5,,68%,14%,9%,0%,9%
"Tonkatsu Butagorira, Honten",4.5,15,$$ - $$$,Kinki,,,,,54%,40%,6%,0%,0%
Sentaro,4.5,15,,Kinki,,,,,,,,,
Salon de Royal Kyoto Kyoto Honten,4.0,17,$$ - $$$,Kinki,,,,,,,,,
Sakuramochiine,4.0,18,,Kinki,4.0,4.0,4.0,,27%,62%,11%,0%,0%
Gram Kyoto Nishiki,4.0,23,$$ - $$$,Kinki,4.5,4.0,4.0,,39%,17%,44%,0%,0%
Bar Pachanga,5.0,9,,Kinki,,,,,100%,0%,0%,0%,0%
Donguri Shijo Kawaramachi,4.5,17,$$ - $$$,Kinki,4.5,4.5,4.5,,61%,29%,5%,5%,0%
Ao Onigiri,4.5,20,$,Kinki,,,,,,,,,
Kaneido Shijo,4.5,15,$$ - $$$,Kinki,4.0,4.5,4.0,,54%,33%,13%,0%,0%
