JapneseName,EnglishName,TotalRating,NearstStation,FoodCategory,PhoneNumber,LunchRating,DinnerRating,ReviewCounts,Dishes,Service,Atmosphere,Cost performance,Drink
余志屋,Yoshiya,3.68,Sanjo,Kappo (Traditional Japanese),+81-75-221-5115,3.68,3.07,90,3.68,3.73,3.62,3.58,3.52
迦陵,Karyou,3.68,Gion Shijo,Kyoto Cuisine,+81-75-532-0025,3.71,3.70,61,3.68,3.74,3.74,3.72,3.71
リストランテ ナカモト,ristorante nakamoto,3.68,Kizu,Italian,+81-774-26-5504,3.06,3.73,41,3.68,3.67,3.66,3.68,3.64
一僖,Ikki,3.68,Gion Shijo,Cantonese Cuisine,+81-75-744-1947,3.63,3.61,20,3.68,3.58,3.56,3.64,3.57
出町ふたば,Demachifutaba,3.67,Demachiyanagi,Japanese sweets,+81-75-231-1658,3.52,3.67,1096,3.67,3.58,3.58,3.59,3.00
麺屋 極鶏,Menyagokkei,3.67,Ichijoji,Ramen,+81-75-711-3133,3.65,3.63,626,3.65,3.58,3.58,3.59,3.20
わらじや,Warajiya,3.67,Shichijo,Unagi (Freshwater eel),+81-75-561-1290,3.65,3.72,95,3.70,3.59,3.83,3.59,3.16
藤むら,Fujimura,3.67,Omiya,Yakiniku (BBQ Beef),+81-75-341-1489,3.67,-,82,3.67,3.59,3.58,3.65,3.53
洛叉庵,Rakushaan,3.67,Kitaoji,Japanese sweets,+81-75-494-2551,3.18,3.65,70,3.69,3.58,3.53,3.67,-
ＨＡＮＡ吉兆,Hanakicchou,3.67,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-531-1500,3.59,3.59,59,3.66,3.72,3.59,3.57,3.65
魚とお酒 ごとし,Sakanatoosakegotoshi,3.67,Karasuma Oike,Seafood,+81-75-255-4541,3.67,-,47,3.67,3.58,3.58,3.59,3.65
和食晴ル,Washokuharu,3.67,Karasuma,Kappo (Traditional Japanese),+81-75-351-1881,3.67,-,45,3.72,3.61,3.58,3.60,3.59
やげんぼり  末吉町店,Yagembori,3.67,Gion Shijo,Kyoto Cuisine,+81-75-551-3331,3.67,3.47,20,3.67,3.66,3.60,3.55,3.56
本家月餅家直正,honketsukimochiyanaomasa,3.66,Sanjo,Japanese sweets,+81-75-231-0175,3.43,3.66,155,3.68,3.59,3.59,3.66,3.10
祇園おくむら,Gionokumura,3.66,Gion Shijo,French,+81-50-5595-7300,3.63,3.77,139,3.69,3.61,3.79,3.59,3.59
麺屋 Somie's,Somie's,3.66,Fukuchiyama,Ramen,+81-773-23-5551,3.50,3.65,100,3.67,3.56,3.58,3.58,3.47
蛸長,Takochou,3.66,Gion Shijo,Oden,+81-75-525-0170,3.66,3.07,82,3.67,3.58,3.58,3.50,3.46
ザ・ロビーラウンジ ザ・リッツ・カールトン京都,Zarobiraunji,3.66,Kyoto Shiyakusho,Café / coffee shop (and others),+81-75-746-5522,3.08,3.66,76,3.61,3.59,3.74,3.54,3.58
錦,Nishiki,3.66,Arashiyama,Kaiseki (Traditional Japanese),+81-50-5595-1604,3.50,3.62,42,3.65,3.63,3.64,3.58,3.56
京夕け　善哉,Kyouyuukeyokikana,3.66,Marutamachi,Kaiseki (Traditional Japanese),+81-75-222-1875,3.68,3.59,34,3.66,3.82,3.91,3.81,3.52
星のや 京都 ダイニング,Hoshinoyakyoutodainingu,3.66,Arashiyama Torok,Kaiseki (Traditional Japanese),+81-570-073-066,3.66,-,10,3.67,3.66,3.65,3.60,3.65
馳走 陽雅,chisouyouga,3.66,Gojo,Kaiseki (Traditional Japanese),+81-75-343-0216,3.65,3.51,8,3.65,3.68,3.67,3.68,3.69
祇園 きだ,Gionkida,3.66,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-551-3923,3.66,-,8,3.66,3.60,3.66,3.59,3.60
鍵善良房 四条本店,Kagizenyoshifusa,3.65,Gion Shijo,Sweets,+81-75-561-1818,3.08,3.65,443,3.66,3.58,3.59,3.58,3.51
山崎麺二郎,Yamazakimenjirou,3.65,Emmachi,Ramen,+81-75-463-1662,3.59,3.69,303,3.65,3.57,3.58,3.59,3.15
京都和久傳,Kyoto-wakuden,3.65,Kyoto,Kaiseki (Traditional Japanese),+81-75-365-1000,3.76,3.58,261,3.65,3.64,3.61,3.59,3.59
ブラン・ピエール,blanc pierre,3.65,Kyoto Shiyakusho,French,+81-75-231-8550,3.58,3.67,137,3.61,3.58,3.58,3.69,3.57
リストランテ ティ ヴォリオ ベーネ,Ristorante t.v.b,3.65,Gion Shijo,Italian,+81-50-5595-7266,3.61,3.59,123,3.65,3.66,3.68,3.59,3.57
石臼挽き手打蕎麦 むら木,Muraki,3.65,Saiin,Soba,+81-75-321-8790,3.50,3.61,66,3.72,3.58,3.58,3.58,3.10
ビストロヤナギハラ,Bisutoroyanagihara,3.65,Kyoto Shiyakusho,French,+81-75-231-7295,3.65,-,57,3.66,3.58,3.58,3.58,3.58
京都 瓢斗 四条烏丸店,kyoutohyouto,3.65,Karasuma,Pork Shabu Shabu,+81-50-5868-9916,3.66,3.58,49,3.61,3.61,3.68,3.58,3.53
祇園畑中,Gionhatanaka,3.65,Gion Shijo,Ryokan,+81-50-5595-0239,3.65,3.54,22,3.65,3.63,3.58,3.56,3.38
ビストロ割烹 YAOYA,bisutorokappouyaoya,3.65,Demachiyanagi,Izakaya (Tavern),+81-75-252-0108,3.65,-,22,3.65,3.63,3.58,3.56,3.75
まつおか,Matsuoka,3.65,Kiyomizu Gojo,Kappo (Traditional Japanese),+81-75-531-0233,3.65,-,15,3.65,3.65,3.65,3.66,3.92
寿し 祇園 松田屋,Sushigiommatsudaya,3.65,Gion Shijo,Sushi,+81-75-561-3338,3.65,-,15,3.65,3.63,3.63,3.10,3.23
ル・プチメック 御池店,Le Petitmec,3.64,Karasuma Oike,Bread,+81-75-212-7735,3.50,3.64,300,3.65,3.58,3.59,3.58,3.39
ホルモン千葉,Horumonchiba,3.64,Gion Shijo,Horumon (BBQ Offel),+81-75-352-6162,3.64,-,168,3.65,3.58,3.58,3.58,3.56
赤垣屋,Akagakiya,3.64,Kyoto Shiyakusho,Izakaya (Tavern),+81-75-751-1416,3.64,3.04,166,3.65,3.62,3.90,3.61,3.58
じき 宮ざわ,jikimiyazawa,3.64,Karasuma,Kappo (Traditional Japanese),+81-75-213-1326,3.56,3.66,122,3.64,3.58,3.58,3.60,3.51
ロトス洋菓子店,LOTUS,3.64,Shijo,Cake,+81-75-353-2050,3.12,3.65,94,3.65,3.58,3.58,3.58,-
甘泉堂,Kansendou,3.64,Gion Shijo,Japanese sweets,+81-75-561-2133,3.45,3.63,72,3.69,3.58,3.58,3.58,3.00
カフェ アリエッティ,Cafe ARRIETTY,3.64,Shichijo,Pancake,+81-75-531-7911,-,3.64,65,3.65,3.57,3.58,3.57,3.53
天ぷら割烹 なかじん,tempurakappounakajin,3.64,Karasuma Oike,Tempura,+81-75-257-2288,3.00,3.76,63,3.63,3.59,3.72,3.58,3.51
いとう,Itou,3.64,Higashiyama,French,+81-90-2043-2021,3.60,3.57,59,3.64,3.57,3.52,3.60,3.57
バー クーゲル,BAR KUGEL,3.64,Gion Shijo,Bar,+81-75-525-2911,3.64,-,50,3.40,3.61,3.63,3.58,3.65
とり料理 瀬戸,Seto,3.64,Ichihara,Fowl,+81-75-741-2667,3.51,3.61,46,3.67,3.68,3.69,3.63,3.52
嵐山MITATE,Arashiyamamitate,3.64,Arashiyama,French,+81-50-5571-5104,3.59,3.60,35,3.64,3.61,3.67,3.58,3.56
点邑,Tenyuu,3.64,Kyoto Shiyakusho,Tempura,+81-75-212-7778,3.58,3.65,16,3.62,3.59,3.64,3.55,3.54
つけ麺 きらり,Tsukemenkirari,3.63,Chushojima,Tsukemen,+81-75-611-0565,3.50,3.65,214,3.62,3.59,3.58,3.56,3.25
とり松,Torimatsu,3.63,Amino,Regional Cuisine (Other),+81-772-72-0429,3.55,3.70,123,3.66,3.58,3.58,3.66,3.55
御二九と八さい はちべー,Onikutoyasaihachibe,3.63,Kawaramachi,Beef dishes,+81-75-212-2261,3.65,3.59,87,3.61,3.59,3.59,3.58,3.52
八起庵 丸太町本店,Hachikian,3.63,Jingu Marutamach,Fowl,+81-75-761-5470,3.58,3.61,80,3.64,3.59,3.58,3.57,3.37
酒亭ばんから,Shuteibankara,3.63,Gion Shijo,Izakaya (Tavern),+81-75-221-5118,3.63,3.00,74,3.63,3.62,3.59,3.60,3.60
洋食 おがた,Youshokuogata,3.63,Kyoto Shiyakusho,Western Cuisine,+81-75-223-2230,3.82,3.61,62,3.64,3.65,3.59,3.64,3.61
かしや,kashiya,3.63,Sanjo Keihan,Sweets (other),+81-75-708-5244,3.05,3.63,61,3.61,3.58,3.59,3.51,3.58
貴与次郎,Kiyojirou,3.63,Nijojo Mae,Kyoto Cuisine,+81-75-213-1313,3.57,3.62,52,3.63,3.62,3.56,3.59,3.52
水暉 ザ・リッツ・カールトン京都,Mizuki,3.63,Kyoto Shiyakusho,Kaiseki (Traditional Japanese),+81-75-746-5522,3.61,3.60,51,3.62,3.90,3.92,3.59,3.58
柊家旅館,Hiiragiyaryokan,3.63,Kyoto Shiyakusho,Ryokan,+81-75-221-1136,3.62,3.54,37,3.62,3.69,3.67,3.56,3.50
辻留 京都伊勢丹店,Tsujitome,3.63,Kyoto,Bento (Lunch box),+81-75-352-1111,3.53,3.60,32,3.65,3.49,3.14,3.51,-
京料理 本家たん熊 本店,kyouryourihonketankuma,3.63,Kawaramachi,Kyoto Cuisine,+81-50-3628-1645,3.59,3.56,27,3.63,3.67,3.67,3.57,3.59
炭屋旅館,Sumiyaryokan,3.63,Kyoto Shiyakusho,Kyoto Cuisine,+81-75-221-2187,3.59,3.23,25,3.60,3.57,3.57,3.00,3.50
祇園　岩元,Gioniwamoto,3.63,Gion Shijo,Kyoto Cuisine,+81-50-5868-1896,3.53,3.70,22,3.63,3.62,3.59,3.62,3.00
ヴェーナ,Vena,3.63,Marutamachi,Italian,+81-50-5596-1778,3.58,3.67,21,3.63,3.59,3.74,3.58,3.67
宮川町　水簾,Miyagawachousuiren,3.63,Gion Shijo,Kaiseki (Traditional Japanese),+81-50-5595-9689,3.56,3.63,21,3.64,3.63,3.68,3.61,3.55
蛸八,Takohachi,3.63,Kawaramachi,Kappo (Traditional Japanese),+81-75-231-2995,3.63,-,20,3.65,3.58,3.53,3.59,3.51
みくり,Mikuri,3.63,Kyoto Shiyakusho,Kappo (Traditional Japanese),+81-50-5592-5761,3.63,-,12,3.63,3.59,3.58,3.59,3.62
閼伽井,Akai,3.63,Gion Shijo,Kyoto Cuisine,+81-75-551-8181,3.63,-,7,3.63,3.51,3.60,3.54,3.57
千花,Chihana,3.63,Sanjo Keihan,Kappo (Traditional Japanese),+81-75-561-2741,3.55,3.65,0,3.64,3.59,3.59,3.53,3.57
いづ重,Idujuu,3.62,Gion Shijo,Sushi,+81-75-561-0019,3.55,3.62,281,3.64,3.58,3.58,3.58,3.17
庶民,Shomin,3.62,Shijo Omiya,Stand Bar,"}:￥1,000～￥1,999",3.63,3.60,180,3.59,3.58,3.58,4.16,3.58
はつだ,Hatsuda,3.62,Shugakuin,Yakiniku (BBQ Beef),+81-75-722-8179,3.62,3.61,134,3.62,3.59,3.59,3.58,3.58
蕎麦 ろうじな,Sobaroujina,3.62,Kyoto Shiyakusho,Soba,+81-50-5593-8804,3.63,3.61,89,3.63,3.58,3.58,3.59,3.59
ナカガワ小麦店,Nakagawa Komugiten,3.62,Mototanaka,Bread,+81-75-702-6672,3.02,3.62,87,3.63,3.58,3.59,3.57,3.00
千登利亭,Chidoritei,3.62,Gion Shijo,Sushi,+81-75-561-1907,3.58,3.63,65,3.61,3.59,3.58,3.59,3.58
亀末廣,Kamesuehiro,3.62,Karasuma Oike,Japanese sweets,+81-75-221-5110,3.07,3.62,59,3.61,3.58,3.63,3.53,3.06
京料理 藤本,Kyouryourifujimoto,3.62,Karasuma Oike,Kappo (Traditional Japanese),"ze}:￥3,000～￥3,999",3.56,3.64,43,3.65,3.59,3.58,3.94,3.55
センプリチェ,Semplice,3.62,Chushojima,Italian,+81-75-605-4166,3.54,3.63,37,3.61,3.58,3.58,3.63,3.50
炭平,Sumihei,3.62,Kyotango,Ryokan,+81-772-75-0005,3.61,3.32,36,3.62,3.56,3.55,3.52,3.51
BAR TALISKER,BAR TALISKER,3.62,Gion Shijo,Bar,+81-75-525-6205,3.62,-,17,3.10,3.54,3.55,3.53,3.60
ニュー万長,nyu-manchou,3.62,Kitano Hakubaich,Yakiniku (BBQ Beef),+81-75-462-9455,3.62,-,14,3.63,3.59,3.57,3.55,3.60
イタリア食堂 910,Itariashokudoukyuuichimaru,3.62,Kawaramachi,Italian,+81-50-3696-0910,3.62,-,11,3.62,3.58,3.53,3.58,3.57
あまやどりの宿 雨情草庵,Amayadorinoyadoujousouan,3.62,Yuhigaura Kitsu,Ryokan,+81-772-74-9009,3.63,3.54,5,3.62,3.61,3.63,3.50,3.50
ふきあげ,Fukiage,3.62,Kitaoji,Kaiseki (Traditional Japanese),+81-75-491-8965,3.62,-,5,3.62,3.68,3.73,3.53,3.55
グリルグリーン,Gurirugurin,3.62,Gion Shijo,French,+81-75-525-3117,3.62,-,5,3.62,3.61,3.57,3.56,3.58
東山 吉寿,Higashiyamayoshihisa,3.62,Shichijo,Kappo (Traditional Japanese),+81-75-748-1216,3.60,3.51,5,3.62,3.60,3.61,3.57,3.60
大極殿本舗 六角店,daigokudenhompo,3.61,Karasuma Oike,Sweets,+81-75-221-3311,3.19,3.61,312,3.62,3.58,3.61,3.58,3.48
拳ラーメン,Kobushiramen,3.61,Tambaguchi,Ramen,+81-75-351-3608,3.64,3.61,306,3.61,3.58,3.58,3.58,3.11
THE SODOH HIGASHIYAMA KYOTO,Zasoudouhigashiyamakyouto,3.61,Gion Shijo,Italian,+81-50-5869-8585,3.60,3.58,287,3.60,3.60,3.90,3.59,3.58
セアブラノ神 壬生本店,Seaburanokami,3.61,Shijo Omiya,Ramen,+81-75-821-0729,3.59,3.61,277,3.61,3.58,3.58,3.58,3.51
いづう,Iduu,3.61,Gion Shijo,Kyoto Cuisine,+81-75-561-0751,3.61,3.59,272,3.60,3.58,3.59,3.58,3.35
アジェ,Aje,3.61,Kiyomizu Gojo,Horumon (BBQ Offel),+81-75-352-5757,3.61,-,246,3.61,3.57,3.57,3.59,3.55
新宿めんや風花 本店,Shinjukumenyafuuka,3.61,Shijo,Ramen,+81-75-344-6623,3.56,3.61,246,3.62,3.51,3.51,3.58,3.27
マリベル 京都本店,MarieBelle,3.61,Karasuma Oike,Chocolate,+81-75-221-2202,3.27,3.61,236,3.61,3.59,3.71,3.51,3.58
はふう 本店,Hafuu,3.61,Kyoto Shiyakusho,Beef dishes,+81-75-257-1581,3.58,3.61,231,3.61,3.58,3.58,3.58,3.54
虎屋菓寮 京都一条店 ,Torayakaryou,3.61,Imadegawa,Sweets,+81-75-441-3113,3.08,3.61,188,3.59,3.58,3.68,3.53,3.57
麺処 鶏谷,Toritani,3.61,Yamanouchi,Ramen,+81-75-754-7969,3.60,3.61,169,3.61,3.58,3.58,3.59,3.35
蕎麦屋 にこら,Sobayanikora,3.61,Imadegawa,Soba,+81-75-431-7567,3.57,3.63,132,3.62,3.51,3.60,3.58,3.53
クロア,Kuroa,3.61,Kitaoji,Bread,+81-75-495-6313,3.08,3.61,112,3.62,3.58,3.58,3.54,3.00
仁王門 うね乃,nioumonuneno,3.61,Sanjo Keihan,Udon,+81-75-751-1188,3.52,3.62,104,3.61,3.62,3.58,3.59,3.58
レガル,regal+e,3.61,Kizu,Bread,+81-774-73-1788,3.09,3.61,100,3.61,3.58,3.58,3.58,3.00
楽庵,Rakuan,3.61,Karasuma,Izakaya (Tavern),+81-75-352-5252,3.61,-,89,3.60,3.58,3.58,3.69,3.59
木と根,kitone,3.61,Shijo,Cafe,+81-75-352-2428,-,3.61,84,3.59,3.54,3.58,3.51,3.49
そば処 桝富,sobadokoromasutomi,3.61,Higashiyama,Hot Pot (other),+81-75-771-5973,3.56,3.56,82,3.62,3.53,3.54,3.56,3.35
ミスリム,MISSLIM Tea Place,3.61,Jingu Marutamach,Tea shoppe,+81-75-231-4688,3.24,3.59,80,3.59,3.58,3.64,3.55,3.60
下鴨茶寮 本店,Shimogamosaryou,3.61,Demachiyanagi,Kaiseki (Traditional Japanese),+81-50-5593-6398,3.16,3.70,79,3.61,3.61,3.60,3.53,3.50
煮干そば 藍,Niboshisobaai,3.61,Jingu Marutamach,Ramen,+81-70-5503-2898,3.57,3.61,74,3.61,3.61,3.58,3.61,3.00
辰むら,Tatsumura,3.61,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-361-3020,3.58,3.70,66,3.60,3.61,3.58,3.81,3.55
メゾン・ド・ヴァン鶉亭,Mezondovanuduratei,3.61,Gion Shijo,French,+81-50-5869-1126,3.61,-,51,3.59,3.57,3.61,3.53,3.64
京都 吉兆 ホテルグランヴィア店,Kyoutokicchou,3.61,Kyoto,Kaiseki (Traditional Japanese),+81-75-342-0808,3.57,3.58,48,3.62,3.64,3.56,3.39,3.56
まつもと,Matsumoto,3.61,Kawaramachi,Soba,+81-75-256-5053,3.55,3.58,48,3.63,3.53,3.58,3.58,3.59
祇園おかだ,Gionokada,3.61,Gion Shijo,Kappo (Traditional Japanese),+81-75-551-3200,3.61,-,46,3.61,3.58,3.58,3.59,3.57
きさいち,Kisaichi,3.61,Kyoto,Izakaya (Tavern),+81-75-344-2717,3.61,-,41,3.61,3.56,3.59,3.61,3.53
ますだ,Masuda,3.61,Gion Shijo,Kyoto Cuisine,+81-75-221-6816,3.61,-,35,3.63,3.58,3.58,3.55,3.52
レストラン おがわ,RESTAURANT OGAWA,3.61,Kyoto Shiyakusho,French,+81-75-256-2203,3.55,3.58,30,3.61,3.56,3.56,3.38,3.52
ろあん,Roan,3.61,Kabutoyama,Soba,+81-772-83-3133,3.16,3.61,22,3.61,3.56,3.58,3.27,3.14
くりた,Kurita,3.61,Kawaramachi,Kyoto Cuisine,+81-75-344-0456,3.60,3.55,15,3.61,3.61,3.54,3.62,3.53
すみや亀峰菴,Sumiyakihouan,3.61,Kameoka,Ryokan,+81-771-22-0394,3.63,3.55,11,3.63,3.58,3.64,3.56,3.54
万助楼,Mansukerou,3.61,Amino,Ryokan,+81-772-72-4145,3.61,3.56,5,3.62,3.56,3.52,3.56,3.54
高須賀,takasuka,3.61,Shichijo,French,+81-75-748-1680,3.59,3.51,4,3.60,3.59,3.62,3.55,3.56
本家 第一旭 たかばし本店,Honkedaiichiasahi,3.60,Kyoto,Ramen,+81-50-5570-0973,3.59,3.59,1407,3.60,3.58,3.57,3.58,3.41
中村藤吉本店 宇治本店,nakamuratoukichihonten,3.60,Uji,Sweets,+81-774-22-7800,3.18,3.60,529,3.60,3.58,3.61,3.58,3.58
吟醸らーめん 久保田 本店,Ginjouramenkubota,3.60,Gojo,Tsukemen,+81-75-351-3805,3.59,3.59,393,3.59,3.58,3.57,3.55,3.31
一保堂茶舗 喫茶室 嘉木,Ippodouchahokissashitsukaboku,3.60,Kyoto Shiyakusho,Japan tea shoppe,+81-75-211-4018,3.08,3.60,284,3.59,3.60,3.58,3.57,3.67
粟餅所・澤屋,Awamochidokorosawaya,3.60,Kitano Hakubaich,Japanese sweets,+81-75-461-4517,3.13,3.60,277,3.60,3.58,3.58,3.58,3.49
かね正,Kaneshou,3.60,Gion Shijo,Unagi (Freshwater eel),+81-75-532-5830,3.60,3.58,158,3.61,3.58,3.58,3.60,3.00
亀甲屋,Kikkouya,3.60,Karasuma Oike,Kyoto Cuisine,+81-75-221-1270,3.59,3.36,155,3.59,3.60,3.59,3.57,3.58
麩嘉 府庁前本店,Fuuka,3.60,Marutamachi,Japanese sweets,+81-75-231-1584,3.52,3.60,132,3.61,3.58,3.59,3.55,3.11
さか井,Sakai,3.60,Karasuma,Sushi,+81-75-231-9240,3.37,3.60,117,3.60,3.58,3.58,3.58,3.23
末廣,Suehiro,3.60,Kyoto Shiyakusho,Sushi,+81-75-231-1363,3.56,3.61,100,3.61,3.58,3.58,3.57,3.04
ファイブラン,Fiveran,3.60,Karasuma Oike,Bread,+81-75-212-5696,3.04,3.60,100,3.61,3.56,3.58,3.55,3.50
ジュメルニジュウク,Jumelles 29,3.60,Kawaramachi,Bistro,+81-50-5872-2342,3.60,-,91,3.61,3.54,3.53,3.58,3.56
ゼンカフェ,ZEN CAFE,3.60,Gion Shijo,Sweets,+81-75-533-8686,3.03,3.60,84,3.59,3.59,3.63,3.52,3.58
めなみ,Menami,3.60,Sanjo,Kyoto Cuisine,+81-75-231-1095,3.60,-,80,3.60,3.58,3.58,3.57,3.54
カフェ・ドン バイ スフェラ,kafedombaisufera,3.60,Gion Shijo,Cafe,+81-75-532-1070,3.13,3.59,78,3.61,3.58,3.61,3.50,3.54
建仁寺 祇園 丸山,Kenninjigiommaruyama,3.60,Gion Shijo,Kyoto Cuisine,+81-75-561-9990,3.54,3.53,59,3.59,3.63,3.63,3.52,3.44
熟豚,Jukuton,3.60,Keihan Yamashina,Tonkatsu (Pork cutlet),+81-75-595-0295,3.55,3.58,50,3.60,3.57,3.55,3.57,3.16
hikari-yurari,Hikariyurari,3.60,Kyoto Shiyakusho,Italian,+81-75-251-1865,3.60,3.08,41,3.60,3.54,3.60,3.61,3.59
おづKyoto -maison du sake-,odukyoutomezondwusake,3.60,Marutamachi,Kyoto Cuisine,+81-75-406-7326,3.35,3.67,38,3.58,3.69,3.58,3.56,3.46
はり清,Harise,3.60,Kiyomizu Gojo,Kaiseki (Traditional Japanese),+81-50-5593-0650,3.59,3.58,31,3.61,3.59,3.59,3.53,3.53
牛宝,Gyuuhou,3.60,Ichijoji,Kushiyaki (Grilled skewer),+81-75-723-2424,3.60,-,28,3.61,3.61,3.58,3.59,3.52
ケンゾーエステイトワイナリー 祇園店,Kenzoesuteitowainarigionten,3.60,Gion Shijo,Italian,+81-50-5590-3430,3.61,3.10,22,3.63,3.61,3.61,3.58,3.60
一品料理 高倉,ippinryouritakakura,3.60,Kyoto Shiyakusho,Kappo (Traditional Japanese),+81-75-231-5633,3.60,3.07,15,3.60,3.53,3.54,3.57,3.31
NAKATSUKA,NAKATSUKA,3.60,Karasuma Oike,French,+81-75-223-0015,3.60,-,14,3.60,3.58,3.60,3.59,3.59
らく山,Rakuzan,3.60,Gion Shijo,Kappo (Traditional Japanese),+81-75-531-8112,3.60,-,9,3.60,3.54,3.55,3.60,3.47
祇園 松むろ,Giommatsumuro,3.60,Sanjo Keihan,Kaiseki (Traditional Japanese),+81-75-531-0300,3.60,-,5,3.60,3.59,3.60,3.58,3.57
新福菜館 本店,Shimpukusaikan,3.59,Kyoto,Ramen,+81-75-371-7648,3.59,3.59,1192,3.59,3.57,3.55,3.58,3.23
中華そば 高安,chuukasobatakayasu,3.59,Ichijoji,Ramen,+81-50-5595-5130,3.58,3.58,737,3.59,3.58,3.58,3.58,3.18
茶寮都路里 祇園本店,Saryoutsujiri,3.59,Gion Shijo,Sweets,+81-75-561-2257,3.51,3.58,418,3.59,3.57,3.56,3.51,3.47
祇園きなな 本店,Gionkinana,3.59,Gion Shijo,Sweets,+81-75-525-8300,3.13,3.59,391,3.59,3.53,3.56,3.53,3.36
阿闍梨餅本舗 京菓子司 満月 本店,ajarimochihompokyougashitsukasamangetsu,3.59,Demachiyanagi,Japanese sweets,+81-75-791-4121,3.54,3.59,381,3.59,3.58,3.58,3.58,3.10
中村藤吉本店 京都駅店,nakamuratoukichihonten,3.59,Kyoto,Sweets,+81-75-342-2303,3.58,3.58,377,3.59,3.58,3.57,3.56,3.45
ぎおん徳屋,Giontokuya,3.59,Gion Shijo,Sweets,+81-75-561-5554,3.08,3.59,311,3.59,3.58,3.58,3.54,3.52
かざりや,Kazariya,3.59,Kitaoji,Japanese sweets,+81-75-491-9402,3.06,3.59,298,3.59,3.58,3.60,3.56,3.24
フリップアップ,Flip up!,3.59,Karasuma Oike,Bread,+81-75-213-2833,3.09,3.59,286,3.59,3.57,3.56,3.58,3.00
まるき製パン所,Marukiseipansho,3.59,Shijo Omiya,Bread,+81-75-821-9683,3.53,3.59,240,3.59,3.58,3.58,3.59,3.06
一文字屋和輔,Ichimonjiyawasuke,3.59,Kitaoji,Japanese sweets,+81-75-492-6852,3.07,3.59,240,3.59,3.58,3.60,3.58,3.15
蕎麦の実 よしむら,Sobanomiyoshimura,3.59,Gojo,Soba,+81-75-353-0114,3.58,3.59,217,3.59,3.58,3.58,3.58,3.54
マルシン飯店,Marushinhanten,3.59,Higashiyama,Chinese,+81-75-561-4825,3.59,3.55,216,3.59,3.58,3.57,3.60,3.58
茶房いせはん,sabouisehan,3.59,Demachiyanagi,Sweets,+81-75-231-5422,3.23,3.59,203,3.59,3.56,3.55,3.53,3.09
大鵬,Taihou,3.59,Nijo,Sichuan Cuisine,+81-75-822-5598,3.59,3.59,199,3.59,3.60,3.58,3.60,3.56
らーめん 鶴武者,Ramentsurumusha,3.59,Saiin,Ramen,+81-75-322-7015,3.58,3.58,199,3.59,3.58,3.58,3.58,3.54
カフェ ラインベック,Cafe Rhinebeck,3.59,Imadegawa,Pancake,+81-75-451-1208,3.03,3.59,196,3.59,3.56,3.58,3.52,3.50
緑寿庵清水,Ryokujuanshimizu,3.59,Demachiyanagi,Japanese sweets,+81-75-771-0755,3.08,3.59,190,3.60,3.58,3.58,3.53,3.07
喫茶葦島,Kissaashijima,3.59,Kyoto Shiyakusho,Traditional Café,+81-75-241-2210,3.50,3.58,184,3.58,3.58,3.67,3.55,3.58
本格手打うどん 大河,honkakuteuchiudontaiga,3.59,Fujinomori,Udon,+81-75-641-4877,3.53,3.59,181,3.59,3.58,3.57,3.58,3.26
スパイスチャンバー,SPICE CHAMBER,3.59,Shijo,Curry rice,+81-75-342-3813,3.39,3.58,178,3.59,3.58,3.57,3.55,3.51
ミスター・ギョーザ,Misutagyoza,3.59,Nishioji,Dumplings,+81-75-691-1991,3.55,3.58,176,3.59,3.58,3.58,3.60,3.34
今井食堂,Imaishokudou,3.59,Kitayama,table d'hôte,+81-75-791-6780,3.08,3.59,174,3.59,3.20,3.23,3.58,3.00
みつばち,Mitsubachi,3.59,Demachiyanagi,Sweets,+81-75-213-2144,3.08,3.59,170,3.59,3.56,3.58,3.53,3.49
京都 権太呂 本店,Kyoutogontaro,3.59,Kawaramachi,Udon Suki,+81-50-5869-6798,3.50,3.59,163,3.59,3.59,3.59,3.58,3.36
紫野和久傳 堺町店,Murasakinowakuden,3.59,Karasuma Oike,Japanese sweets,+81-75-223-3600,3.12,3.59,163,3.59,3.58,3.59,3.51,3.27
ELEPHANT FACTORY COFFEE,Erefantofakutorikohi,3.59,Kawaramachi,Coffee shoppe,+81-75-212-1808,3.57,3.57,157,3.58,3.57,3.66,3.54,3.58
イカリヤ食堂,Ikariyashokudou,3.59,Gion Shijo,French,+81-75-276-2067,3.59,3.41,152,3.59,3.71,3.68,3.63,3.58
八代目儀兵衛,Hachidaimegihee,3.59,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-708-8173,3.13,3.59,150,3.60,3.58,3.56,3.56,3.29
おだしと小麦一三〇,odashitokomugiisao,3.59,Ichijoji,Noodles (other),,3.54,3.59,130,3.60,3.56,3.58,3.53,3.07
カフェ　火裏蓮花,Kafekarirenge,3.59,Kyoto Shiyakusho,Cafe,+81-50-5596-7093,3.09,3.59,130,3.59,3.58,3.59,3.54,3.56
京のつくね家,Kyounotsukuneya,3.59,Jingu Marutamach,Fowl,+81-75-761-2245,3.36,3.58,127,3.59,3.41,3.27,3.26,3.24
美齢,Meirin,3.59,Imadegawa,Chinese,+81-75-441-7597,3.53,3.59,124,3.59,3.54,3.54,3.59,3.48
